Configuration 3:  

x: 0 	y: 0.0 	sigma: 0.02577656259161713
x: 7 	y: 0.2584616394655204 	sigma: 0.029821045924803568
x: 14 	y: 0.4497766191381243 	sigma: 0.03389644688376128
x: 21 	y: 0.6334797170533452 	sigma: 0.038879234624925256
x: 28 	y: 0.8020157511572771 	sigma: 0.04454590105556233
x: 35 	y: 0.9537381692746776 	sigma: 0.05069558478358841
x: 42 	y: 1.0599177496459262 	sigma: 0.05567310018892585
x: 49 	y: 1.230985294307016 	sigma: 0.06502619999191156
x: 56 	y: 1.3613371704373443 	sigma: 0.07340885790201886
x: 63 	y: 1.3721000321144146 	sigma: 0.0741544895660422
x: 70 	y: 1.574155287819825 	sigma: 0.0898428275371527
x: 77 	y: 1.5874877498054025 	sigma: 0.09099935939106764
x: 84 	y: 1.6875298582619889 	sigma: 0.10020757478886443
x: 91 	y: 1.733052267129255 	sigma: 0.10472360794161933
x: 98 	y: 1.8480970047088172 	sigma: 0.1171255561330911
x: 105 	y: 1.9203136149828661 	sigma: 0.12569169153794912
x: 112 	y: 1.9781187104637459 	sigma: 0.13301845458440847
