Configuration 2:  

x: 0.49 	y: 15.113078921057886 	sigma: 0.5716416915748702
x: 3.71 	y: 18.12945568896397 	sigma: 0.8225977658096387
x: 6.92 	y: 19.941430411402603 	sigma: 0.9952463873377764
x: 10.15 	y: 22.463402272650328 	sigma: 1.262900293439124
x: 13.35 	y: 25.00071625145692 	sigma: 1.5643102727252787
x: 16.58 	y: 27.994851386983317 	sigma: 1.9614368393547907
x: 19.79 	y: 31.65272751346107 	sigma: 2.5074961412921692
x: 23.0 	y: 34.90906568661692 	sigma: 3.049962123603385
x: 26.22 	y: 41.36700745930968 	sigma: 4.282784324573425
x: 29.43 	y: 45.228702035774546 	sigma: 5.1197204078309015
x: 32.65 	y: 49.4612335459234 	sigma: 6.122769100675028
x: 35.86 	y: 54.060324962620236 	sigma: 7.3143426085007945
x: 39.07 	y: 58.40488992714167 	sigma: 8.537218852204502
x: 42.28 	y: 64.21018188828035 	sigma: 10.31871922796072
