Configuration 2:  

x: 0 	y: 0.0 	sigma: 0.053491643712430974
x: 4 	y: 0.1819774790058179 	sigma: 0.05907145690863364
x: 8 	y: 0.27723897509961026 	sigma: 0.06262215168228222
x: 12 	y: 0.3963268966175802 	sigma: 0.06775991074968907
x: 16 	y: 0.503343951877416 	sigma: 0.07311470606253594
x: 20 	y: 0.6164600915924145 	sigma: 0.07962204442900013
x: 24 	y: 0.7392637995990126 	sigma: 0.08778565674128178
x: 28 	y: 0.8371860346316524 	sigma: 0.09520493636557881
x: 32 	y: 1.0069231192093369 	sigma: 0.11022445011293822
x: 36 	y: 1.0961713634633075 	sigma: 0.11934853881746302
x: 40 	y: 1.1856286794170312 	sigma: 0.1294390082987786
x: 44 	y: 1.2745400293388263 	sigma: 0.14048726302444864
x: 48 	y: 1.3518390953193655 	sigma: 0.1509875103834052
x: 52 	y: 1.4466012718728405 	sigma: 0.16509356059064448
