time;position
3.100;0.417278
3.110;0.412972
3.120;0.408401
3.130;0.40658
3.140;0.402427
3.150;0.398446
3.160;0.394658
3.170;0.390831
3.180;0.387387
3.190;0.383906
3.200;0.380807
3.210;0.377689
3.220;0.374706
3.230;0.372278
3.240;0.370004
3.250;0.368074
3.260;0.366488
3.270;0.365266
3.280;0.364197
3.290;0.363454
3.300;0.363264
3.310;0.363228
3.320;0.363535
3.330;0.364169
3.340;0.365354
3.350;0.366693
3.360;0.368375
3.370;0.370419
3.380;0.372598
3.390;0.375329
3.400;0.378232
3.410;0.381306
3.420;0.384551
3.430;0.387949
3.440;0.391729
3.450;0.395489
3.460;0.399441
3.470;0.403614
3.480;0.405433
3.490;0.409536
3.500;0.413831
3.510;0.418125
3.520;0.42242
3.530;0.426715
3.540;0.431052
3.550;0.435004
3.560;0.438955
3.570;0.442951
3.580;0.446581
3.590;0.45004
3.600;0.453328
3.610;0.456467
3.620;0.45924
3.630;0.461864
3.640;0.464145
3.650;0.466059
3.660;0.467848
3.670;0.469075
3.680;0.470177
3.690;0.470717
3.700;0.471108
3.710;0.471155
3.720;0.470858
3.730;0.470194
3.740;0.469146
3.750;0.469943
3.760;0.468442
3.770;0.466595
3.780;0.464404
3.790;0.461869
3.800;0.458965
3.810;0.45614
3.820;0.450769
3.830;0.447154
3.840;0.44356
3.850;0.439794
3.860;0.435833
3.870;0.431894
3.880;0.427783
3.890;0.423477
3.900;0.419172
3.910;0.414846
3.920;0.410692
3.930;0.406508
3.940;0.404665
3.950;0.400665
3.960;0.397069
3.970;0.393241
3.980;0.389798
3.990;0.386316
4.000;0.383217
4.010;0.38008
4.020;0.377307
4.030;0.374688
4.040;0.372431
4.050;0.370311
4.060;0.368743
4.070;0.36733
4.080;0.366261
4.090;0.365537
4.100;0.365174
4.110;0.364948
4.120;0.365255
4.130;0.365925
4.140;0.366729
4.150;0.368086
4.160;0.369597
4.170;0.371451
4.180;0.373648
4.190;0.376226
4.200;0.378747
4.210;0.381859
4.220;0.384742
4.230;0.387988
4.240;0.391405
4.250;0.395013
4.260;0.398582
4.270;0.402774
4.280;0.404443
4.290;0.408182
4.300;0.412326
4.310;0.416236
4.320;0.420572
4.330;0.424503
4.340;0.428647
4.350;0.432599
4.360;0.436572
4.370;0.440374
4.380;0.444004
4.390;0.447485
4.400;0.450578
4.410;0.453717
4.420;0.456512
4.430;0.458942
4.440;0.460946
4.450;0.465199
4.460;0.466965
4.470;0.468387
4.480;0.469443
4.490;0.470373
4.500;0.47074
4.510;0.470983
4.520;0.470663
4.530;0.470194
4.540;0.46938
4.550;0.468199
4.560;0.466869
4.570;0.465195
4.580;0.463176
4.590;0.46079
4.600;0.458231
4.610;0.455773
4.620;0.450552
4.630;0.447303
4.640;0.443882
4.650;0.440288
4.660;0.4365
4.670;0.432734
4.680;0.428773
4.690;0.424834
4.700;0.420701
4.710;0.416547
4.720;0.412586
4.730;0.408381
4.740;0.406711
4.750;0.402903
4.760;0.399287
4.770;0.395632
4.780;0.392361
4.790;0.38907
4.800;0.385952
4.810;0.383006
4.820;0.380252
4.830;0.377441
4.840;0.375185
4.850;0.373083
4.860;0.371343
4.870;0.369739
4.880;0.368688
4.890;0.367791
4.900;0.367238
4.910;0.36703
4.920;0.367183
4.930;0.367491
4.940;0.368142
4.950;0.369136
4.960;0.370475
4.970;0.372175
4.980;0.374029
4.990;0.376226
5.000;0.378804
5.010;0.381344
5.020;0.384265
5.030;0.387148
5.040;0.390413
5.050;0.393639
5.060;0.397227
5.070;0.401227
5.080;0.402897
5.090;0.406677
5.100;0.410436
5.110;0.414367
5.120;0.418511
5.130;0.422462
5.140;0.426435
5.150;0.430215
5.160;0.433995
5.170;0.437796
5.180;0.441449
5.190;0.444714
5.200;0.448001
5.210;0.451139
5.220;0.453912
5.230;0.456512
5.240;0.458965
5.250;0.460797
5.260;0.464902
5.270;0.466301
5.280;0.467528
5.290;0.46863
5.300;0.469193
5.310;0.469388
5.320;0.469458
5.330;0.468966
5.340;0.468324
5.350;0.467316
5.360;0.466181
5.370;0.46446
5.380;0.462809
5.390;0.460594
5.400;0.458483
5.410;0.453606
5.420;0.450702
5.430;0.447625
5.440;0.444399
5.450;0.440761
