time;position
0.000;0.385823
0.004;0.386339
0.008;0.386903
0.012;0.387199
0.016;0.387763
0.020;0.388107
0.024;0.388499
0.028;0.388623
0.032;0.389015
0.036;0.389187
0.040;0.389408
0.044;0.389408
0.048;0.389408
0.052;0.389408
0.056;0.389457
0.060;0.389285
0.064;0.389113
0.068;0.388989
0.072;0.388597
0.076;0.388473
0.080;0.388129
0.084;0.387785
0.088;0.387489
0.092;0.386973
0.096;0.386457
0.100;0.385989
0.104;0.385301
0.108;0.384564
0.112;0.384096
0.116;0.383456
0.120;0.382595
0.124;0.381735
0.128;0.380874
0.132;0.380014
0.136;0.3792
0.140;0.378168
0.144;0.37657
0.148;0.378215
0.152;0.376963
0.156;0.37593
0.160;0.374944
0.164;0.373739
0.168;0.372534
0.172;0.371329
0.176;0.37017
0.180;0.368747
0.184;0.367588
0.188;0.36621
0.192;0.364833
0.196;0.36341
0.200;0.362296
0.204;0.360701
0.208;0.359323
0.212;0.357946
0.216;0.356613
0.220;0.355019
0.224;0.353686
0.228;0.352136
0.232;0.350586
0.236;0.349037
0.240;0.347443
0.244;0.346109
0.248;0.34456
0.252;0.34301
0.256;0.341503
0.260;0.339738
0.264;0.338188
0.268;0.336597
0.272;0.335261
0.276;0.333711
0.280;0.332162
0.284;0.330612
0.288;0.329062
0.292;0.327512
0.296;0.325922
0.300;0.324585
0.304;0.322995
0.308;0.321658
0.312;0.320068
0.316;0.318651
0.320;0.317485
0.324;0.316583
0.328;0.312665
0.332;0.311248
0.336;0.310082
0.340;0.308666
0.344;0.307423
0.348;0.306428
0.352;0.305223
0.356;0.30398
0.360;0.302947
0.364;0.301877
0.368;0.301054
0.372;0.299983
0.376;0.29916
0.380;0.29809
0.384;0.297193
0.388;0.296504
0.392;0.295853
0.396;0.294955
0.400;0.29423
0.404;0.293751
0.408;0.293026
0.412;0.292473
0.416;0.292166
0.420;0.291613
0.424;0.291269
0.428;0.290925
0.432;0.290544
0.436;0.290409
0.440;0.290028
0.444;0.28982
0.448;0.28982
0.452;0.289856
0.456;0.289612
0.460;0.28982
0.464;0.289784
0.468;0.289956
0.472;0.290091
0.476;0.290472
0.480;0.290607
0.484;0.290951
0.488;0.291295
0.492;0.291603
0.496;0.292118
0.500;0.292634
0.504;0.293113
0.508;0.293838
0.512;0.294317
0.516;0.295004
0.520;0.295692
0.524;0.296343
0.528;0.297202
0.532;0.298062
0.536;0.298921
0.540;0.299743
