time;position
0.000;0.362657
0.005;0.364682
0.010;0.366915
0.015;0.369185
0.020;0.371172
0.025;0.373614
0.030;0.375847
0.035;0.378080
0.040;0.380314
0.045;0.382547
0.050;0.384818
0.055;0.386802
0.060;0.389246
0.065;0.391518
0.070;0.393501
0.075;0.395985
0.080;0.398007
0.085;0.400280
0.090;0.402341
0.095;0.404362
0.100;0.407083
0.105;0.406848
0.110;0.408738
0.115;0.410587
0.120;0.412649
0.125;0.414752
0.130;0.416600
0.135;0.418703
0.140;0.420635
0.145;0.422311
0.150;0.424244
0.155;0.426005
0.160;0.427508
0.165;0.429270
0.170;0.430816
0.175;0.432406
0.180;0.433781
0.185;0.434678
0.190;0.438465
0.195;0.439668
0.200;0.440915
0.205;0.441903
0.210;0.443194
0.215;0.444054
0.220;0.444914
0.225;0.445773
0.230;0.446677
0.235;0.447410
0.240;0.447926
0.245;0.448486
0.250;0.448785
0.255;0.449391
0.260;0.449518
0.265;0.449952
0.270;0.449907
0.275;0.450124
0.280;0.450169
0.285;0.449997
0.290;0.449870
0.295;0.449571
0.300;0.449055
0.305;0.448539
0.310;0.448112
0.315;0.447207
0.320;0.446563
0.325;0.445747
0.330;0.444715
0.335;0.443682
0.340;0.442694
0.345;0.441489
0.350;0.440284
0.355;0.439123
0.360;0.437702
0.365;0.437066
0.370;0.433142
0.375;0.431592
0.380;0.430043
0.385;0.428494
0.390;0.426987
0.395;0.425265
0.400;0.423586
0.405;0.421692
0.410;0.419798
0.415;0.417904
0.420;0.416010
0.425;0.414157
0.430;0.412091
0.435;0.409491
0.440;0.410237
0.445;0.407917
0.450;0.406063
0.455;0.404037
0.460;0.401758
0.465;0.399732
0.470;0.397493
0.475;0.395214
0.480;0.393187
0.485;0.390948
0.490;0.388670
0.495;0.386681
0.500;0.384193
0.505;0.382165
0.510;0.379926
0.515;0.377687
0.520;0.375410
0.525;0.373381
0.530;0.371142
0.535;0.368867
0.540;0.366800
0.545;0.364734
0.550;0.362667
0.555;0.360601
0.560;0.358534
0.565;0.356432
0.570;0.354538
0.575;0.352644
0.580;0.350715
0.585;0.348993
0.590;0.347271
0.595;0.345550
0.600;0.343793
0.605;0.342244
0.610;0.340695
0.615;0.339111
0.620;0.337734
0.625;0.336323
0.630;0.335119
0.635;0.334282
0.640;0.330782
0.645;0.329750
0.650;0.328717
0.655;0.327652
0.660;0.326759
0.665;0.326070
0.670;0.325382
0.675;0.324661
0.680;0.324145
0.685;0.323597
0.690;0.323220
0.695;0.323081
0.700;0.322704
0.705;0.322500
0.710;0.322500
0.715;0.322500
0.720;0.322468
0.725;0.322607
0.730;0.322984
0.735;0.323091
0.740;0.323639
0.745;0.323918
0.750;0.324639
0.755;0.325122
0.760;0.325777
0.765;0.326637
0.770;0.327496
0.775;0.328323
0.780;0.329321
0.785;0.330558
0.790;0.331556
0.795;0.332759
0.800;0.333929
0.805;0.335237
0.810;0.336686
0.815;0.340082
0.820;0.341629
0.825;0.343141
0.830;0.344894
0.835;0.346406
0.840;0.348089
0.845;0.350014
0.850;0.351697
0.855;0.353552
0.860;0.355649
0.865;0.357503
0.870;0.359565
0.875;0.361626
0.880;0.363688
0.885;0.365749
0.890;0.367774
0.895;0.370044
0.900;0.372068
0.905;0.374339
0.910;0.376363
0.915;0.378596
0.920;0.380867
0.925;0.382890
0.930;0.385162
0.935;0.387185
0.940;0.389418
0.945;0.392160
0.950;0.391612
0.955;0.394095
0.960;0.396157
0.965;0.398218
