time;position
0.000;0.416068
0.010;0.416068
0.020;0.416068
0.030;0.416068
0.040;0.416068
0.050;0.416068
0.060;0.416068
0.070;0.416068
0.080;0.416068
0.090;0.416068
0.100;0.416068
0.110;0.416068
0.120;0.416068
0.130;0.416068
0.140;0.416068
0.150;0.416089
0.160;0.415896
0.170;0.415896
0.180;0.415896
0.190;0.415896
0.200;0.415896
0.210;0.415896
0.220;0.415896
0.230;0.415896
0.240;0.415896
0.250;0.415917
0.260;0.415724
0.270;0.415724
0.280;0.415724
0.290;0.415724
0.300;0.415724
0.310;0.415745
0.320;0.415552
0.330;0.415552
0.340;0.415552
0.350;0.415552
0.360;0.415552
0.370;0.415552
0.380;0.415552
0.390;0.415552
0.400;0.415552
0.410;0.415552
0.420;0.415552
0.430;0.415552
0.440;0.415552
0.450;0.415531
0.460;0.415724
0.470;0.415724
0.480;0.415724
0.490;0.415724
0.500;0.415724
0.510;0.415724
0.520;0.415724
0.530;0.415724
0.540;0.415724
0.550;0.415724
0.560;0.415724
0.570;0.415703
0.580;0.415896
0.590;0.415896
0.600;0.415896
0.610;0.415896
0.620;0.415896
0.630;0.415896
0.640;0.415896
0.650;0.415875
0.660;0.416068
0.670;0.416068
0.680;0.416068
0.690;0.416068
0.700;0.416068
0.710;0.416068
0.720;0.416068
0.730;0.416068
0.740;0.416068
0.750;0.416068
0.760;0.416068
0.770;0.416068
0.780;0.416047
0.790;0.416240
0.800;0.416261
0.810;0.416068
0.820;0.416068
0.830;0.416068
0.840;0.416068
0.850;0.416068
0.860;0.416068
0.870;0.416068
0.880;0.416068
0.890;0.416068
0.900;0.416068
0.910;0.416068
0.920;0.416068
0.930;0.416068
0.940;0.416089
0.950;0.415896
0.960;0.415875
0.970;0.416068
0.980;0.416089
0.990;0.415896
1.000;0.415896
1.010;0.415896
1.020;0.415896
1.030;0.415896
1.040;0.415917
1.050;0.415724
1.060;0.415724
1.070;0.415724
1.080;0.415724
1.090;0.415724
1.100;0.415724
1.110;0.415724
1.120;0.415724
1.130;0.415745
1.140;0.415552
1.150;0.415552
1.160;0.415531
1.170;0.415724
1.180;0.415724
1.190;0.415724
1.200;0.415724
1.210;0.415724
1.220;0.415745
1.230;0.415552
1.240;0.415552
1.250;0.415552
1.260;0.415531
1.270;0.415724
1.280;0.415724
1.290;0.415724
1.300;0.415724
1.310;0.415724
1.320;0.415724
1.330;0.415724
1.340;0.415724
1.350;0.415724
1.360;0.415724
1.370;0.415703
1.380;0.415896
1.390;0.415896
1.400;0.415896
1.410;0.415896
1.420;0.415896
1.430;0.415896
1.440;0.415896
1.450;0.415896
1.460;0.415896
1.470;0.415875
1.480;0.416068
1.490;0.416068
1.500;0.416068
1.510;0.416068
1.520;0.416068
1.530;0.416068
1.540;0.416068
1.550;0.416068
1.560;0.416068
1.570;0.416047
1.580;0.416240
1.590;0.416240
1.600;0.416240
1.610;0.416240
1.620;0.416240
1.630;0.416240
1.640;0.416261
1.650;0.416068
1.660;0.416068
1.670;0.416068
1.680;0.416068
1.690;0.416068
1.700;0.416068
1.710;0.416068
1.720;0.416068
1.730;0.416068
1.740;0.416068
1.750;0.416068
1.760;0.416068
1.770;0.416089
1.780;0.415896
1.790;0.415896
1.800;0.415896
1.810;0.415896
1.820;0.415896
1.830;0.415896
1.840;0.415896
1.850;0.415896
1.860;0.415917
1.870;0.415724
1.880;0.415724
1.890;0.415724
1.900;0.415724
1.910;0.415724
1.920;0.415724
1.930;0.415724
1.940;0.415724
1.950;0.415724
1.960;0.415724
1.970;0.415724
1.980;0.415724
1.990;0.415724
2.000;0.415724
2.010;0.415724
2.020;0.415724
2.030;0.415724
2.040;0.415724
2.050;0.415724
2.060;0.415724
2.070;0.415724
2.080;0.415724
2.090;0.415724
2.100;0.415724
2.110;0.415724
2.120;0.415724
2.130;0.415724
2.140;0.415703
2.150;0.415896
2.160;0.415896
2.170;0.415896
2.180;0.415896
2.190;0.415896
2.200;0.415896
2.210;0.415896
2.220;0.415896
2.230;0.415896
2.240;0.415875
2.250;0.416068
2.260;0.416068
2.270;0.416068
2.280;0.416068
2.290;0.416068
2.300;0.416068
2.310;0.416068
2.320;0.416068
2.330;0.416047
2.340;0.416240
2.350;0.416240
2.360;0.416240
2.370;0.416240
2.380;0.416240
2.390;0.416240
2.400;0.416240
2.410;0.416240
2.420;0.416240
2.430;0.416240
2.440;0.416240
2.450;0.416240
2.460;0.416240
2.470;0.416240
2.480;0.416240
2.490;0.416261
2.500;0.416068
2.510;0.416068
2.520;0.416068
2.530;0.416068
2.540;0.416068
2.550;0.416068
2.560;0.416068
