Configuration 3:  

x: 0 	y: 0.0 	sigma: 0.020058743064116664
x: 4 	y: 0.017345328472018733 	sigma: 0.020234984196366403
x: 8 	y: 0.03143968650544156 	sigma: 0.020381589905480117
x: 12 	y: 0.04144288005107931 	sigma: 0.020487517884185
x: 16 	y: 0.05699992383516855 	sigma: 0.02065540218156715
x: 20 	y: 0.06594090363891233 	sigma: 0.020753643827237354
x: 24 	y: 0.07372545396470868 	sigma: 0.020840234727879912
x: 28 	y: 0.07991424565434026 	sigma: 0.020909782669529302
x: 32 	y: 0.0857276332629498 	sigma: 0.020975686874198738
x: 36 	y: 0.09073549275572826 	sigma: 0.02103290849866588
x: 40 	y: 0.09534816626004754 	sigma: 0.02108598470115807
x: 44 	y: 0.09871625245158998 	sigma: 0.021124965203316377
x: 48 	y: 0.1029423756526018 	sigma: 0.021174146373836467
x: 52 	y: 0.10633865140330336 	sigma: 0.021213889087368966
x: 56 	y: 0.1093177160431207 	sigma: 0.021248910829260403
x: 60 	y: 0.10693919339194537 	sigma: 0.021220936891085982
x: 64 	y: 0.10969692122864856 	sigma: 0.02125337958094522
x: 68 	y: 0.11230568203336753 	sigma: 0.021284189036741237
x: 72 	y: 0.11487392091738645 	sigma: 0.021314633517970312
x: 76 	y: 0.11658975187015552 	sigma: 0.02133503632228989
x: 80 	y: 0.11873868897366842 	sigma: 0.02136066045691836
x: 84 	y: 0.12046116977127833 	sigma: 0.021381256851988734
x: 88 	y: 0.1217549802230078 	sigma: 0.021396761099262085
x: 92 	y: 0.12305046678903057 	sigma: 0.021412314389346536
x: 96 	y: 0.12344748264221342 	sigma: 0.02141708667014374
x: 100 	y: 0.12377928766456264 	sigma: 0.021421077183500215
x: 104 	y: 0.12521334758230573 	sigma: 0.021438346083790957
x: 108 	y: 0.12651332509135624 	sigma: 0.02145403116529258
x: 112 	y: 0.12781499474191554 	sigma: 0.021469766050685565
