h1;h2;h3;h4;h5;h6;h7;h8
0.58324;0.558656;0.531469;0.511022;0.485394;0.459068;0.433784;0.410916
0.583412;0.558645;0.531641;0.51085;0.485222;0.459059;0.433784;0.410752
0.583573;0.558806;0.531792;0.510688;0.48505;0.45924;0.433775;0.410408
0.583905;0.55915;0.532308;0.510355;0.484878;0.459231;0.43393;0.410073
0.584421;0.559494;0.532835;0.509828;0.484706;0.459412;0.434472;0.409548
0.584937;0.559838;0.533157;0.509484;0.484543;0.459403;0.434472;0.409213
0.585453;0.560193;0.533845;0.50914;0.48419;0.459575;0.434481;0.408697
0.585981;0.560376;0.534544;0.508807;0.484027;0.459747;0.434309;0.40818
0.586325;0.560376;0.535049;0.50828;0.483683;0.459919;0.434128;0.407656
0.58668;0.560376;0.535748;0.507936;0.48333;0.460091;0.434137;0.40732
0.586864;0.560376;0.536275;0.507582;0.483158;0.460263;0.433956;0.406796
0.586864;0.560376;0.536619;0.50741;0.482986;0.460435;0.433965;0.406452
0.586887;0.560376;0.536973;0.507238;0.482814;0.460607;0.433784;0.406108
0.586555;0.560387;0.537156;0.507046;0.482642;0.460788;0.433793;0.405756
0.586039;0.560215;0.537156;0.507228;0.48246;0.460779;0.433612;0.405584
0.585523;0.560054;0.537177;0.507218;0.48247;0.46096;0.433612;0.405315
0.585007;0.55971;0.536833;0.50738;0.482278;0.46096;0.433612;0.407288
0.584491;0.559355;0.5365;0.507734;0.48246;0.46096;0.433612;0.407468
0.583963;0.559183;0.535984;0.507896;0.48245;0.46096;0.433612;0.40746
0.583619;0.559011;0.535468;0.50823;0.482622;0.46096;0.433612;0.407632
0.583264;0.558828;0.534963;0.508745;0.482794;0.460969;0.433612;0.407804
0.583092;0.558828;0.534275;0.509272;0.482957;0.460797;0.433603;0.407968
0.582896;0.558839;0.533576;0.509605;0.48331;0.460616;0.433784;0.408304
0.583057;0.558656;0.53306;0.510132;0.483473;0.460625;0.433775;0.408819
0.583401;0.558645;0.532533;0.510476;0.483826;0.460453;0.433956;0.409335
0.583733;0.558817;0.532189;0.51082;0.483989;0.460281;0.433947;0.40986
0.584237;0.558989;0.531835;0.511174;0.484342;0.460109;0.434128;0.410294
0.584937;0.55915;0.531652;0.511346;0.484505;0.459937;0.434137;0.408647
0.585453;0.559494;0.531641;0.511528;0.484858;0.459765;0.433965;0.409172
0.585981;0.559849;0.531813;0.511528;0.48503;0.459593;0.433784;0.409507
0.586336;0.560021;0.531975;0.511538;0.485212;0.459421;0.433793;0.410032
0.586508;0.560193;0.532308;0.511366;0.485202;0.45924;0.433612;0.410376
0.586692;0.560365;0.532813;0.511204;0.485384;0.459249;0.433621;0.41072
0.586704;0.560548;0.533512;0.51086;0.485394;0.459068;0.43344;0.411072
0.586532;0.560537;0.534017;0.510516;0.485212;0.459068;0.43344;0.411244
0.586371;0.56072;0.534705;0.510183;0.485222;0.459068;0.43344;0.411424
0.586039;0.56072;0.535404;0.509667;0.48505;0.459068;0.43344;0.411424
0.585523;0.560731;0.53592;0.50914;0.484878;0.459068;0.433431;0.411424
0.585007;0.560559;0.536447;0.508807;0.484706;0.459059;0.433612;0.411432
0.584491;0.560398;0.536791;0.50828;0.484543;0.459231;0.433612;0.411268
0.583963;0.560054;0.537145;0.507936;0.48419;0.459412;0.433612;0.410924
0.583608;0.55971;0.537328;0.507592;0.484027;0.459403;0.433612;0.41058
0.583436;0.559355;0.537339;0.507238;0.483674;0.459575;0.433612;0.410236
0.58324;0.559183;0.537167;0.507056;0.483511;0.459747;0.433612;0.409901
0.583412;0.559011;0.537016;0.507056;0.483158;0.459919;0.433612;0.409385
0.583573;0.558828;0.5365;0.507056;0.482986;0.460091;0.433612;0.40886
0.583917;0.558839;0.535984;0.507046;0.482814;0.460263;0.433603;0.408525
0.584237;0.558656;0.535479;0.507208;0.482642;0.460435;0.433784;0.408008
0.584949;0.558667;0.53478;0.507562;0.48246;0.460607;0.433784;0.407501
0.585281;0.558484;0.534275;0.507724;0.48246;0.460788;0.433784;0.406796
0.585797;0.558462;0.533587;0.508058;0.48246;0.460779;0.433767;0.406452
0.586325;0.558817;0.532877;0.508584;0.48245;0.46096;0.434128;0.406108
0.58668;0.558978;0.532544;0.508917;0.482632;0.46096;0.434128;0.405756
0.586864;0.55931;0.532007;0.509444;0.482622;0.46096;0.434128;0.405592
0.586876;0.559849;0.531835;0.509788;0.482794;0.46096;0.434137;0.40524
0.586715;0.560032;0.531652;0.510132;0.482966;0.46096;0.433965;0.405068
0.586383;0.560021;0.531641;0.510476;0.483129;0.460969;0.433793;0.40488
0.585867;0.560204;0.531803;0.51082;0.483482;0.460788;0.433612;0.405052
0.585363;0.560193;0.532147;0.511174;0.483645;0.460797;0.433612;0.405224
0.584663;0.560365;0.532491;0.511356;0.483998;0.460625;0.433612;0.405291
