h1;h2;h3
28.64;27.80;28.58
53.34;53.00;53.30
79.60;78.50;78.40
103.00;103.90;103.50
130.00;131.30;130.20
153.80;153.90;153.64
179.70;179.98;179.80
206.50;206.50;206.18
