Configuration 3:  

(using maxima)

2 - 53 	 T:  0.8793137254901962
2 - 54 	 T:  0.8793269230769231
2 - 55 	 T:  0.8786792452830189
2 - 56 	 T:  0.8792592592592593
2 - 57 	 T:  0.8790909090909091
2 - 58 	 T:  0.8791964285714285
2 - 59 	 T:  0.8782456140350877
2 - 60 	 T:  0.8785344827586208
2 - 61 	 T:  0.8793220338983051
2 - 62 	 T:  0.8790833333333334
2 - 63 	 T:  0.8782786885245902
2 - 64 	 T:  0.8789516129032259
2 - 65 	 T:  0.8783333333333333
2 - 66 	 T:  0.878984375
2 - 67 	 T:  0.8785384615384616
2 - 68 	 T:  0.8787121212121213
2 - 69 	 T:  0.8788805970149255
2 - 70 	 T:  0.8788970588235294
2 - 71 	 T:  0.8776086956521739
2 - 72 	 T:  0.8787142857142858
2 - 73 	 T:  0.8788732394366198
2 - 74 	 T:  0.8775694444444446
2 - 75 	 T:  0.8776027397260273
2 - 76 	 T:  0.8787837837837837
2 - 77 	 T:  0.8785999999999999
2 - 78 	 T:  0.8778947368421053
2 - 79 	 T:  0.8778571428571429
2 - 80 	 T:  0.8787179487179486
2 - 81 	 T:  0.8787341772151899
2 - 82 	 T:  0.8786875000000001
2 - 83 	 T:  0.878641975308642
2 - 84 	 T:  0.8787195121951219
2 - 85 	 T:  0.8786144578313253
2 - 86 	 T:  0.8784523809523809
2 - 87 	 T:  0.8786470588235294
2 - 88 	 T:  0.8785465116279069
2 - 89 	 T:  0.8785632183908046
2 - 90 	 T:  0.878465909090909
2 - 91 	 T:  0.8785955056179775
2 - 92 	 T:  0.8785555555555555
2 - 93 	 T:  0.8785164835164835
2 - 94 	 T:  0.8784239130434782
2 - 95 	 T:  0.8783870967741936
2 - 96 	 T:  0.8786702127659575
2 - 97 	 T:  0.8780526315789473
2 - 98 	 T:  0.8784375
2 - 99 	 T:  0.87840206185567
2 - 100 	 T:  0.8783673469387755
2 - 101 	 T:  0.8783333333333333
2 - 102 	 T:  0.87835
2 - 103 	 T:  0.8783663366336633
2 - 104 	 T:  0.8781862745098038
2 - 105 	 T:  0.8782038834951457
2 - 106 	 T:  0.8783653846153846
2 - 107 	 T:  0.8782857142857142
2 - 108 	 T:  0.8783490566037735
2 - 109 	 T:  0.8783177570093457
2 - 110 	 T:  0.8783333333333333
2 - 111 	 T:  0.8781192660550458
2 - 112 	 T:  0.8781818181818182
2 - 113 	 T:  0.8782432432432432
2 - 114 	 T:  0.8783482142857143
3 - 4 	 T:  0.8599999999999999
3 - 5 	 T:  0.8775
3 - 6 	 T:  0.8733333333333334
3 - 7 	 T:  0.8787499999999999
3 - 8 	 T:  0.8789999999999999
3 - 9 	 T:  0.88
3 - 10 	 T:  0.8792857142857143
3 - 11 	 T:  0.87875
3 - 12 	 T:  0.8788888888888888
