Configuration 3:  

x =  0.386961 	 n:  18
x =  0.387 	 n:  294
x =  0.387133 	 n:  44
x =  0.387172 	 n:  1252
x =  0.387211 	 n:  19
x =  0.387305 	 n:  74
x =  0.387344 	 n:  2380
x =  0.387383 	 n:  45
x =  0.387477 	 n:  55
x =  0.387516 	 n:  2550
x =  0.387555 	 n:  75
x =  0.387649 	 n:  44
x =  0.387688 	 n:  2332
x =  0.387727 	 n:  56
x =  0.387821 	 n:  6
x =  0.38786 	 n:  704
x =  0.387899 	 n:  44
x =  0.388032 	 n:  95
x =  0.388071 	 n:  6
