Configuration 2:  

(using maxima)

1 - 2 	 T:  0.8
4 - 23 	 T:  0.8042105263157895
4 - 24 	 T:  0.8045
4 - 25 	 T:  0.8042857142857143
4 - 26 	 T:  0.8045454545454547
4 - 27 	 T:  0.8043478260869565
4 - 28 	 T:  0.8041666666666667
4 - 29 	 T:  0.804
4 - 30 	 T:  0.8042307692307692
4 - 31 	 T:  0.804074074074074
4 - 32 	 T:  0.8039285714285714
4 - 33 	 T:  0.8041379310344827
4 - 34 	 T:  0.804
4 - 35 	 T:  0.8038709677419356
4 - 36 	 T:  0.8040625
4 - 37 	 T:  0.803939393939394
4 - 38 	 T:  0.8041176470588235
4 - 39 	 T:  0.8042857142857144
4 - 40 	 T:  0.8038888888888889
4 - 41 	 T:  0.8040540540540541
4 - 42 	 T:  0.8039473684210527
4 - 43 	 T:  0.8041025641025641
4 - 44 	 T:  0.804
4 - 45 	 T:  0.8039024390243903
4 - 46 	 T:  0.8038095238095238
4 - 47 	 T:  0.803953488372093
4 - 48 	 T:  0.8038636363636364
4 - 49 	 T:  0.8037777777777778
4 - 50 	 T:  0.803695652173913
4 - 51 	 T:  0.8036170212765958
4 - 52 	 T:  0.80375
5 - 6 	 T:  0.7999999999999998
5 - 7 	 T:  0.8050000000000002
5 - 8 	 T:  0.8033333333333333
5 - 9 	 T:  0.8025
5 - 10 	 T:  0.804
5 - 11 	 T:  0.8033333333333332
5 - 12 	 T:  0.8042857142857143
5 - 13 	 T:  0.805
5 - 14 	 T:  0.8044444444444444
5 - 15 	 T:  0.8039999999999999
5 - 16 	 T:  0.8036363636363636
5 - 17 	 T:  0.8033333333333333
5 - 18 	 T:  0.8038461538461538
5 - 19 	 T:  0.8042857142857144
5 - 20 	 T:  0.8039999999999999
5 - 21 	 T:  0.8043749999999998
5 - 22 	 T:  0.8035294117647059
5 - 23 	 T:  0.8038888888888889
5 - 24 	 T:  0.8042105263157894
5 - 25 	 T:  0.8039999999999999
5 - 26 	 T:  0.8042857142857143
