Configuration 1:  

x: 0.056 	y: 19.486970132326896 	sigma: 0.2954858651037894
x: 3.268 	y: 23.72009859961058 	sigma: 0.43780533720265347
x: 6.524 	y: 29.764260411875625 	sigma: 0.6893475920557035
x: 9.748 	y: 37.428874691846495 	sigma: 1.0900881334828154
x: 12.976 	y: 50.41252372593065 	sigma: 1.9775385144333424
x: 16.208 	y: 51.758921418617724 	sigma: 2.084579713817104
x: 19.428 	y: 77.18824362083264 	sigma: 4.636074320809373
x: 22.652 	y: 83.86911175284175 	sigma: 5.473336618025972
x: 25.88 	y: 91.816060169015 	sigma: 6.559721150616229
x: 29.084 	y: 94.8106277447923 	sigma: 6.994587635832564
x: 32.328 	y: 122.87516921913696 	sigma: 11.748335211065955
x: 35.536 	y: 91.75708674962961 	sigma: 6.5512972441838615
x: 38.784 	y: 98.00711570501898 	sigma: 7.474175451224479
