Configuration 1:  

(using maxima)

4 - 26 	 T:  0.806909090909091
4 - 27 	 T:  0.802608695652174
4 - 28 	 T:  0.8073333333333332
4 - 29 	 T:  0.80672
4 - 30 	 T:  0.8066153846153846
4 - 31 	 T:  0.8069629629629629
4 - 32 	 T:  0.8064285714285714
4 - 33 	 T:  0.8067586206896552
4 - 34 	 T:  0.8059999999999999
4 - 35 	 T:  0.8065806451612902
4 - 36 	 T:  0.8065
4 - 37 	 T:  0.8060606060606061
4 - 38 	 T:  0.806705882352941
4 - 39 	 T:  0.8063999999999999
4 - 40 	 T:  0.8065555555555556
4 - 41 	 T:  0.8065945945945946
4 - 42 	 T:  0.8061052631578947
4 - 43 	 T:  0.8064615384615385
4 - 44 	 T:  0.8061999999999999
4 - 45 	 T:  0.8061463414634146
4 - 46 	 T:  0.8059999999999999
4 - 47 	 T:  0.8065116279069767
4 - 48 	 T:  0.8039090909090909
4 - 49 	 T:  0.8066666666666666
4 - 50 	 T:  0.8065217391304348
5 - 6 	 T:  0.8399999999999999
5 - 7 	 T:  0.8260000000000001
5 - 8 	 T:  0.8066666666666666
5 - 9 	 T:  0.8140000000000001
5 - 10 	 T:  0.812
5 - 11 	 T:  0.8066666666666668
5 - 12 	 T:  0.8114285714285715
5 - 13 	 T:  0.8099999999999999
5 - 14 	 T:  0.8022222222222222
5 - 15 	 T:  0.812
5 - 16 	 T:  0.8087272727272729
5 - 17 	 T:  0.8090000000000002
5 - 18 	 T:  0.8095384615384617
5 - 19 	 T:  0.8085714285714286
5 - 20 	 T:  0.8090666666666666
5 - 21 	 T:  0.8087499999999999
5 - 22 	 T:  0.8089411764705882
5 - 23 	 T:  0.8084444444444444
5 - 24 	 T:  0.8077894736842105
5 - 25 	 T:  0.808
5 - 26 	 T:  0.808
5 - 27 	 T:  0.8034545454545454
5 - 28 	 T:  0.8083478260869564
5 - 29 	 T:  0.8076666666666666
5 - 30 	 T:  0.8075199999999999
5 - 31 	 T:  0.8078461538461538
5 - 32 	 T:  0.8072592592592592
5 - 33 	 T:  0.8075714285714285
5 - 34 	 T:  0.8067586206896552
5 - 35 	 T:  0.8073333333333333
5 - 36 	 T:  0.8072258064516129
5 - 37 	 T:  0.80675
5 - 38 	 T:  0.8073939393939393
5 - 39 	 T:  0.8070588235294117
5 - 40 	 T:  0.8071999999999999
5 - 41 	 T:  0.8072222222222223
5 - 42 	 T:  0.8067027027027027
5 - 43 	 T:  0.8070526315789474
5 - 44 	 T:  0.8067692307692307
5 - 45 	 T:  0.8067
5 - 46 	 T:  0.8065365853658536
5 - 47 	 T:  0.807047619047619
5 - 48 	 T:  0.8043720930232559
5 - 49 	 T:  0.8071818181818181
5 - 50 	 T:  0.8070222222222223
6 - 7 	 T:  0.8120000000000003
6 - 8 	 T:  0.79
6 - 9 	 T:  0.8053333333333335
6 - 10 	 T:  0.8050000000000002
6 - 11 	 T:  0.8000000000000002
6 - 12 	 T:  0.8066666666666668
6 - 13 	 T:  0.8057142857142857
6 - 14 	 T:  0.7975
6 - 15 	 T:  0.8088888888888889
6 - 16 	 T:  0.8056000000000001
6 - 17 	 T:  0.8061818181818183
6 - 18 	 T:  0.807
6 - 19 	 T:  0.8061538461538462
6 - 20 	 T:  0.8068571428571428
6 - 21 	 T:  0.8066666666666665
6 - 22 	 T:  0.8069999999999999
6 - 23 	 T:  0.8065882352941176
