heigth;sigma_heigth;mass;sigma_mass
24.54;0.20;19.83;0.16
50.16;0.39;39.61;0.31
74.79;0.27;59.37;0.21
101.83;0.41;79.08;0.32
125.11;0.20;98.86;0.16
151.15;0.20;118.82;0.16
177.72;0.20;138.80;0.16
