omega;sigma_omega;mass;sigma_mass
0.0066;0.0001;40.46;0.39
0.0108;0.0001;60.29;0.50
0.0149;0.0002;80.07;0.59
0.0191;0.0002;99.83;0.67
0.0231;0.0002;119.54;0.73
0.0271;0.0002;139.32;0.79
0.0308;0.0002;159.28;0.85
0.0349;0.0002;179.26;0.90
0.0384;0.0002;199.22;0.94
